"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"0","11","1","1","0","0"
"1","11","0.978999972","0.533999979","0","0"
"2","11","0.939999998","0.404000014","0","0"
"3","11","0.939999998","0.333999991","0","0"
"4","11","0.939999998","0.289000005","0","0"
"5","11","0.939999998","0.256999999","0","0"
"6","11","0.939999998","0.232999995","0","0"
"7","11","0.939999998","0.214000002","0","0"
"8","11","0.939999998","0.197999999","0","0"
"9","11","0.939999998","0.185000002","0","0"
"10","11","0.939999998","0.173999995","0","0"
"11","11","0.939999998","0.164000005","0","0"
"12","11","0.939999998","0.156000003","0","0"
"13","11","0.939999998","0.148000002","0","0"
"14","11","0.939999998","0.141000003","0","0"
"15","11","0.939999998","0.135000005","0","0"
"16","11","0.939999998","0.129999995","0","0"
"17","11","0.939999998","0.125","0","0"
"18","11","0.939999998","0.119999997","0","0"
"19","11","0.939999998","0.115999997","0","0"
"20","11","0.939999998","0.112000003","0","0"
"21","11","0.939999998","0.108999997","0","0"
"22","11","0.939999998","0.105999999","0","0"
"23","11","0.939999998","0.100000001","0","0"
"24","11","0.939999998","0.093999997","0","0"
"25","11","0.939999998","0.088","0","0"
"26","11","0.939999998","0.081","0","0"
"27","11","0.939999998","0.075000003","0","0"
"28","11","0.939999998","0.071000002","0","0"
"29","11","0.939999998","0.066","0","0"
"30","11","0.300000012","0.061000001","0","0"
"0","21","0.996699989","0.953680327","1","0"
"1","21","0.996699989","0.921156246","1","0"
"2","21","0.996599972","0.890309282","1","0"
"3","21","0.992999971","0.861199331","1","0"
"4","21","0.989799976","0.833586805","0.99000001","0"
"5","21","0.985800028","0.807471705","0.99000001","0"
"6","21","0.98119998","0.782734237","0.99000001","0"
"7","21","0.976100028","0.759314502","0.99000001","0"
"8","21","0.970600009","0.737032812","0.980000019","0"
"9","21","0.9648","0.715889164","0.980000019","0"
"10","21","0.959100008","0.695703869","0.980000019","0"
"11","21","0.953199983","0.676476926","0.980000019","0"
"12","21","0.911499977","0.658028644","0.980000019","0"
"13","21","0.854300022","0.640299127","0.959999979","0"
"14","21","0.831700027","0.623228477","0.959999979","0"
"15","21","0.81309998","0.6066969","0.959999979","0"
"16","21","0.798600018","0.590584602","0.959999979","0"
"17","21","0.787199974","0.574831686","0.959999979","0"
"18","21","0.778800011","0.559318358","0.949999988","0"
"19","21","0.771700025","0.543924824","0.949999988","0"
"20","21","0.766799986","0.528651085","0.949999988","0"
"21","21","0.763300002","0.513317448","0.949999988","0"
"22","21","0.759800017","0.497923914","0.949999988","0"
"23","21","0.757200003","0.482230895","0.949999988","0"
"24","21","0.757099986","0.466298288","0.949999988","0"
"25","21","0.754400015","0.449886505","0.949999988","0"
"26","21","0.754199982","0.432995546","0.949999988","0"
