"yearID","countyid","sourceTypeID","pop"
"2014","49001","11","109"
"2015","49001","11","104"
"2016","49001","11","102"
"2017","49001","11","124"
"2018","49001","11","136"
"2019","49001","11","148"
"2020","49001","11","145"
"2021","49001","11","174"
"2022","49001","11","163"
"2023","49001","11","163.787"
"2024","49001","11","164.577"
"2025","49001","11","165.371"
"2026","49001","11","166.169"
"2027","49001","11","166.971"
"2028","49001","11","167.777"
"2029","49001","11","168.586"
"2030","49001","11","169.4"
"2031","49001","11","170.217"
"2032","49001","11","171.039"
"2033","49001","11","171.864"
"2034","49001","11","172.694"
"2035","49001","11","173.527"
"2036","49001","11","174.364"
"2037","49001","11","175.206"
"2038","49001","11","176.051"
"2039","49001","11","176.901"
"2040","49001","11","177.754"
"2041","49001","11","178.612"
"2042","49001","11","179.474"
"2043","49001","11","180.34"
"2044","49001","11","181.21"
"2045","49001","11","182.085"
"2046","49001","11","182.964"
"2047","49001","11","183.847"
"2048","49001","11","184.734"
"2049","49001","11","185.625"
"2050","49001","11","186.521"
"2051","49001","11","187.421"
"2052","49001","11","188.325"
"2053","49001","11","189.234"
"2054","49001","11","190.147"
"2055","49001","11","191.065"
"2056","49001","11","191.987"
"2057","49001","11","192.914"
"2058","49001","11","193.844"
"2059","49001","11","194.78"
"2060","49001","11","195.72"
"2014","49001","21","2478"
"2015","49001","21","2362"
"2016","49001","21","2236"
"2017","49001","21","2104"
"2018","49001","21","2135"
"2019","49001","21","1740"
"2020","49001","21","1715"
"2021","49001","21","1672"
"2022","49001","21","1620"
"2023","49001","21","1602.47"
"2024","49001","21","1585.13"
"2025","49001","21","1567.98"
"2026","49001","21","1551.02"
"2027","49001","21","1534.24"
"2028","49001","21","1517.64"
"2029","49001","21","1501.22"
"2030","49001","21","1484.98"
"2031","49001","21","1468.91"
"2032","49001","21","1453.02"
"2033","49001","21","1437.3"
"2034","49001","21","1421.75"
"2035","49001","21","1406.36"
"2036","49001","21","1391.15"
"2037","49001","21","1376.1"
"2038","49001","21","1361.21"
"2039","49001","21","1346.48"
"2040","49001","21","1331.91"
"2041","49001","21","1317.5"
"2042","49001","21","1303.25"
"2043","49001","21","1289.15"
"2044","49001","21","1275.2"
"2045","49001","21","1261.4"
"2046","49001","21","1247.75"
"2047","49001","21","1234.25"
"2048","49001","21","1220.9"
"2049","49001","21","1207.69"
"2050","49001","21","1194.62"
"2051","49001","21","1181.7"
"2052","49001","21","1168.91"
"2053","49001","21","1156.27"
"2054","49001","21","1143.76"
"2055","49001","21","1131.38"
"2056","49001","21","1119.14"
"2057","49001","21","1107.03"
"2058","49001","21","1095.05"
"2059","49001","21","1083.21"
"2060","49001","21","1071.49"
"2014","49001","31","3310"
"2015","49001","31","3534"
"2016","49001","31","3700"
"2017","49001","31","3903"
"2018","49001","31","4319"
"2019","49001","31","4969"
"2020","49001","31","5197"
"2021","49001","31","5433"
"2022","49001","31","5604"
"2023","49001","31","5677.04"
"2024","49001","31","5751.04"
"2025","49001","31","5826"
"2026","49001","31","5901.94"
"2027","49001","31","5978.87"
"2028","49001","31","6056.8"
"2029","49001","31","6135.74"
"2030","49001","31","6215.72"
"2031","49001","31","6296.73"
"2032","49001","31","6378.81"
"2033","49001","31","6461.95"
"2034","49001","31","6546.18"
"2035","49001","31","6631.5"
"2036","49001","31","6717.94"
"2037","49001","31","6805.5"
"2038","49001","31","6894.21"
"2039","49001","31","6984.07"
"2040","49001","31","7075.1"
"2041","49001","31","7167.32"
"2042","49001","31","7260.74"
"2043","49001","31","7355.38"
"2044","49001","31","7451.25"
"2045","49001","31","7548.37"
"2046","49001","31","7646.76"
"2047","49001","31","7746.43"
"2048","49001","31","7847.4"
"2049","49001","31","7949.69"
"2050","49001","31","8053.3"
"2051","49001","31","8158.27"
"2052","49001","31","8264.61"
"2053","49001","31","8372.33"
"2054","49001","31","8481.46"
"2055","49001","31","8592.01"
"2056","49001","31","8704"
"2057","49001","31","8817.45"
"2058","49001","31","8932.38"
"2059","49001","31","9048.81"
"2060","49001","31","9166.75"
"2014","49001","32","292"
"2015","49001","32","319"
"2016","49001","32","336"
"2017","49001","32","355"
"2018","49001","32","390"
"2019","49001","32","420"
"2020","49001","32","441"
"2021","49001","32","462"
"2022","49001","32","477"
"2023","49001","32","483.217"
"2024","49001","32","489.516"
"2025","49001","32","495.896"
"2026","49001","32","502.36"
"2027","49001","32","508.907"
"2028","49001","32","515.541"
"2029","49001","32","522.26"
"2030","49001","32","529.067"
"2031","49001","32","535.963"
"2032","49001","32","542.949"
"2033","49001","32","550.026"
"2034","49001","32","557.195"
"2035","49001","32","564.458"
"2036","49001","32","571.815"
"2037","49001","32","579.268"
"2038","49001","32","586.818"
"2039","49001","32","594.467"
"2040","49001","32","602.215"
"2041","49001","32","610.065"
"2042","49001","32","618.016"
"2043","49001","32","626.072"
"2044","49001","32","634.232"
"2045","49001","32","642.499"
"2046","49001","32","650.873"
"2047","49001","32","659.357"
"2048","49001","32","667.951"
"2049","49001","32","676.657"
"2050","49001","32","685.477"
"2051","49001","32","694.411"
"2052","49001","32","703.462"
"2053","49001","32","712.631"
"2054","49001","32","721.92"
"2055","49001","32","731.329"
"2056","49001","32","740.862"
"2057","49001","32","750.518"
"2058","49001","32","760.301"
"2059","49001","32","770.21"
"2060","49001","32","780.25"
"2014","49001","41","8"
"2015","49001","41","9"
"2016","49001","41","10"
"2017","49001","41","10"
"2018","49001","41","10"
"2019","49001","41","15"
"2020","49001","41","13"
"2021","49001","41","13"
"2022","49001","41","14"
"2023","49001","41","14.1942"
"2024","49001","41","14.3911"
"2025","49001","41","14.5907"
