"Index","Year","GeoID_WFRC","County_FIPS","GeoID_text","roadType","dummy","veh_11","veh_21","veh_31","veh_32","veh_41","veh_42","veh_43","veh_51","veh_52","veh_53","veh_54","veh_61","veh_62","Total"
" BV_1990","1990","0","1","BV","4","1990","0.00163","0.55448","0.17222","0.01417","0.00471","0.00123","0.00331","0.00169","0.05492","0.00436","0.00567","0.04869","0.13292","1"
" BV_1990","1990","0","1","BV","5","1990","0.00195","0.66387","0.20619","0.01697","0.00203","0.00053","0.00143","0.00073","0.02368","0.00188","0.00244","0.02099","0.05731","1"
" BV_1990","1990","0","1","BV","55","1990","0.00217","0.73744","0.22904","0.01885","0.00023","0.00006","0.00016","0.00008","0.00267","0.00021","0.00028","0.00236","0.00645","1"
" BV_1999","1999","0","1","BV","4","1999","0.00153","0.43161","0.2859","0.02349","0.00474","0.00132","0.0029","0.00163","0.05401","0.00345","0.00454","0.04321","0.14167","1"
" BV_1999","1999","0","1","BV","5","1999","0.00183","0.51673","0.34229","0.02813","0.00205","0.00057","0.00125","0.0007","0.02329","0.00149","0.00196","0.01863","0.06108","1"
" BV_1999","1999","0","1","BV","55","1999","0.00204","0.57399","0.38023","0.03124","0.00023","0.00006","0.00014","0.00008","0.00262","0.00017","0.00022","0.0021","0.00688","1"
" BV_2000","2000","0","1","BV","4","2000","0.00134","0.42287","0.29422","0.02411","0.00473","0.00132","0.00287","0.00156","0.05411","0.00347","0.00436","0.04319","0.14185","1"
" BV_2000","2000","0","1","BV","5","2000","0.0016","0.50627","0.35225","0.02887","0.00204","0.00057","0.00124","0.00067","0.02333","0.0015","0.00188","0.01862","0.06116","1"
" BV_2000","2000","0","1","BV","55","2000","0.00178","0.56235","0.39129","0.03207","0.00023","0.00006","0.00014","0.00008","0.00263","0.00017","0.00021","0.0021","0.00689","1"
" BV_2001","2001","0","1","BV","4","2001","0.0012","0.4163","0.30046","0.02456","0.004","0.00113","0.00241","0.00148","0.05384","0.00345","0.00426","0.04366","0.14325","1"
" BV_2001","2001","0","1","BV","5","2001","0.00144","0.49843","0.35972","0.0294","0.00173","0.00049","0.00104","0.00064","0.02321","0.00149","0.00183","0.01882","0.06176","1"
" BV_2001","2001","0","1","BV","55","2001","0.00159","0.55367","0.39959","0.03266","0.00019","0.00005","0.00012","0.00007","0.00261","0.00017","0.00021","0.00212","0.00695","1"
" BV_2002","2002","0","1","BV","4","2002","0.00118","0.40997","0.30645","0.02492","0.00408","0.00117","0.00244","0.00148","0.05559","0.00357","0.00431","0.0432","0.14164","1"
" BV_2002","2002","0","1","BV","5","2002","0.00141","0.49082","0.3669","0.02984","0.00176","0.00051","0.00105","0.00064","0.02397","0.00154","0.00186","0.01863","0.06107","1"
" BV_2002","2002","0","1","BV","55","2002","0.00156","0.54522","0.40756","0.03315","0.0002","0.00006","0.00012","0.00007","0.0027","0.00017","0.00021","0.0021","0.00688","1"
" BV_2003","2003","0","1","BV","4","2003","0.00119","0.40355","0.31245","0.02533","0.00387","0.00115","0.00244","0.00146","0.05646","0.00362","0.00433","0.04305","0.1411","1"
" BV_2003","2003","0","1","BV","5","2003","0.00142","0.48315","0.37408","0.03033","0.00167","0.0005","0.00105","0.00063","0.02434","0.00156","0.00187","0.01856","0.06084","1"
" BV_2003","2003","0","1","BV","55","2003","0.00158","0.53669","0.41553","0.03369","0.00019","0.00006","0.00012","0.00007","0.00274","0.00018","0.00021","0.00209","0.00685","1"
" BV_2004","2004","0","1","BV","4","2004","0.00151","0.39274","0.32221","0.02607","0.00404","0.00113","0.00241","0.0014","0.0561","0.0036","0.00425","0.04311","0.14143","1"
" BV_2004","2004","0","1","BV","5","2004","0.00181","0.4702","0.38577","0.03121","0.00174","0.00049","0.00104","0.0006","0.02419","0.00155","0.00183","0.01859","0.06098","1"
