"yearid","countyid","sourcetypeid","County_FIPS","M4_Veh","M4_VMT","M4_VMT_Total","M4_Pop_Factor","M4_pop_factor_grow","DMV_veh_22","HPMS_VMT_s_22","Adj_pop_factor"
"2022","49001","11",\N,"969","1713","862718","1123.19","-0.034033","175","1042740","167.827"
"2022","49001","21",\N,"9001","227245","862718","10433.3","-0.060427","2770","1042740","2656.22"
"2022","49001","31",\N,"15658","426691","862718","18149.6","-0.01231","5015","1042740","4809.87"
"2022","49001","32",\N,"1273","36434","862718","1475.57","-0.012303","408","1042740","391.099"
"2022","49001","41",\N,"48","3022","862718","55.6381","0.000684","48","1042740","46.0326"
"2022","49001","42",\N,"14","945","862718","16.2278","0.032757","14","1042740","13.4262"
"2022","49001","43",\N,"70","1524","862718","81.1389","-0.012806","70","1042740","67.1309"
"2022","49001","51",\N,"9","414","862718","10.4321","-0.041011","9","1042740","8.6311"
"2022","49001","52",\N,"1312","40045","862718","1520.78","-0.010854","1312","1042740","1258.22"
"2022","49001","53",\N,"55","2538","862718","63.752","-0.004823","55","1042740","52.7457"
"2022","49001","54",\N,"191","2401","862718","221.393","-0.009909","191","1042740","183.171"
"2022","49001","61",\N,"337","31838","862718","390.626","-0.026568","337","1042740","323.187"
"2022","49001","62",\N,"379","87908","862718","439.309","-0.025585","379","1042740","363.466"
"2022","49003","11",\N,"3352","6092","2888160","1160.6","-0.034362","1966","3793540","518.25"
"2022","49003","21",\N,"34634","902693","2888160","11991.7","-0.060492","21791","3793540","5744.35"
"2022","49003","31",\N,"51574","1444220","2888160","17857.1","-0.0123","33777","3793540","8903.79"
"2022","49003","32",\N,"4791","141434","2888160","1658.84","-0.012333","3138","3793540","827.119"
"2022","49003","41",\N,"135","8803","2888160","46.7426","-0.019192","135","3793540","35.5868"
"2022","49003","42",\N,"42","2968","2888160","14.5421","-0.017598","4","3793540","0.9441"
"2022","49003","43",\N,"191","4256","2888160","66.1321","-0.020474","118","3793540","31.1055"
"2022","49003","51",\N,"25","1199","2888160","8.65604","-0.001029","25","3793540","6.5902"
"2022","49003","52",\N,"3662","114416","2888160","1267.94","-0.010453","3662","3793540","965.326"
"2022","49003","53",\N,"157","7465","2888160","54.3599","-0.009442","157","3793540","41.3862"
"2022","49003","54",\N,"503","6451","2888160","174.159","-0.00948","503","3793540","132.594"
"2022","49003","61",\N,"833","80258","2888160","288.419","-0.025784","833","3793540","219.584"
"2022","49003","62",\N,"714","167907","2888160","247.216","-0.025982","714","3793540","188.215"
"2022","49005","11",\N,"3747","6833","2756110","1359.52","-0.035475","3637","3700580","982.82"
"2022","49005","21",\N,"34104","891629","2756110","12373.9","-0.061648","36103","3700580","9755.93"
"2022","49005","31",\N,"52160","1465060","2756110","18925.2","-0.013515","57475","3700580","15531.4"
