"County_FIPS","roadTypeID","sourceTypeID","Year_ID","roadtypeID2345","VMT_Jan_veh_road","VMT_Jul_veh_road","VMT_Jan_veh","VMT_Jul_veh","Jan_roadVMTFraction","Jul_roadVMTFraction"
"11","55","11",',"5",',',',',','
"11","55","21",',"5",',',',',','
"11","55","31",',"5",',',',',','
"11","55","32",',"5",',',',',','
"11","55","41",',"5",',',',',','
"11","55","42",',"5",',',',',','
"11","55","43",',"5",',',',',','
"11","55","51",',"5",',',',',','
"11","55","52",',"5",',',',',','
"11","55","53",',"5",',',',',','
"11","55","54",',"5",',',',',','
"11","55","61",',"5",',',',',','
"11","55","62",',"5",',',',',','
"11","4","11",',"4",',',',',','
"11","4","21",',"4",',',',',','
"11","4","31",',"4",',',',',','
"11","4","32",',"4",',',',',','
"11","4","41",',"4",',',',',','
"11","4","42",',"4",',',',',','
"11","4","43",',"4",',',',',','
"11","4","51",',"4",',',',',','
"11","4","52",',"4",',',',',','
"11","4","53",',"4",',',',',','
"11","4","54",',"4",',',',',','
"11","4","61",',"4",',',',',','
"11","4","62",',"4",',',',',','
"11","5","11",',"5",',',',',','
"11","5","21",',"5",',',',',','
"11","5","31",',"5",',',',',','
"11","5","32",',"5",',',',',','
"11","5","41",',"5",',',',',','
"11","5","42",',"5",',',',',','
"11","5","43",',"5",',',',',','
"11","5","51",',"5",',',',',','
"11","5","52",',"5",',',',',','
"11","5","53",',"5",',',',',','
"11","5","54",',"5",',',',',','
"11","5","61",',"5",',',',',','
"11","5","62",',"5",',',',',','
"35","55","11",',"5",',',',',','
"35","55","21",',"5",',',',',','
"35","55","31",',"5",',',',',','
"35","55","32",',"5",',',',',','
"35","55","41",',"5",',',',',','
"35","55","42",',"5",',',',',','
"35","55","43",',"5",',',',',','
"35","55","51",',"5",',',',',','
"35","55","52",',"5",',',',',','
"35","55","53",',"5",',',',',','
"35","55","54",',"5",',',',',','
"35","55","61",',"5",',',',',','
"35","55","62",',"5",',',',',','
"35","4","11",',"4",',',',',','
"35","4","21",',"4",',',',',','
"35","4","31",',"4",',',',',','
"35","4","32",',"4",',',',',','
"35","4","41",',"4",',',',',','
"35","4","42",',"4",',',',',','
"35","4","43",',"4",',',',',','
"35","4","51",',"4",',',',',','
"35","4","52",',"4",',',',',','
"35","4","53",',"4",',',',',','
"35","4","54",',"4",',',',',','
"35","4","61",',"4",',',',',','
"35","4","62",',"4",',',',',','
"35","5","11",',"5",',',',',','
"35","5","21",',"5",',',',',','
"35","5","31",',"5",',',',',','
"35","5","32",',"5",',',',',','
"35","5","41",',"5",',',',',','
"35","5","42",',"5",',',',',','
"35","5","43",',"5",',',',',','
"35","5","51",',"5",',',',',','
"35","5","52",',"5",',',',',','
"35","5","53",',"5",',',',',','
"35","5","54",',"5",',',',',','
"35","5","61",',"5",',',',',','
"35","5","62",',"5",',',',',','
"49","55","11",',"5",',',',',','
"49","55","21",',"5",',',',',','
"49","55","31",',"5",',',',',','
"49","55","32",',"5",',',',',','
"49","55","41",',"5",',',',',','
"49","55","42",',"5",',',',',','
"49","55","43",',"5",',',',',','
"49","55","51",',"5",',',',',','
"49","55","52",',"5",',',',',','
"49","55","53",',"5",',',',',','
"49","55","54",',"5",',',',',','
"49","55","61",',"5",',',',',','
"49","55","62",',"5",',',',',','
"49","4","11",',"4",',',',',','
"49","4","21",',"4",',',',',','
"49","4","31",',"4",',',',',','
"49","4","32",',"4",',',',',','
"49","4","41",',"4",',',',',','
"49","4","42",',"4",',',',',','
"49","4","43",',"4",',',',',','
"49","4","51",',"4",',',',',','
"49","4","52",',"4",',',',',','
"49","4","53",',"4",',',',',','
"49","4","54",',"4",',',',',','
"49","4","61",',"4",',',',',','
"49","4","62",',"4",',',',',','
"49","5","11",',"5",',',',',','
"49","5","21",',"5",',',',',','
"49","5","31",',"5",',',',',','
"49","5","32",',"5",',',',',','
"49","5","41",',"5",',',',',','
"49","5","42",',"5",',',',',','
"49","5","43",',"5",',',',',','
"49","5","51",',"5",',',',',','
"49","5","52",',"5",',',',',','
"49","5","53",',"5",',',',',','
"49","5","54",',"5",',',',',','
"49","5","61",',"5",',',',',','
"49","5","62",',"5",',',',',','
"57","55","11",',"5",',',',',','
"57","55","21",',"5",',',',',','
"57","55","31",',"5",',',',',','
"57","55","32",',"5",',',',',','
"57","55","41",',"5",',',',',','
"57","55","42",',"5",',',',',','
"57","55","43",',"5",',',',',','
