"yearID","countyID","sourceTypeID","activitytypeID","activitytype","activity"
"2060","49001","62","1","distance","97021"
"2060","49001","61","1","distance","37500"
"2060","49001","54","1","distance","4889"
"2060","49001","53","1","distance","4760"
"2060","49001","52","1","distance","75472"
"2060","49001","51","1","distance","800"
"2060","49001","43","1","distance","2258"
"2060","49001","42","1","distance","1230"
"2060","49001","41","1","distance","4454"
"2060","49001","32","1","distance","60499"
"2060","49001","31","1","distance","744856"
"2060","49001","21","1","distance","169979"
"2060","49001","11","1","distance","2351"
"2059","49001","62","1","distance","96722"
"2059","49001","61","1","distance","37370"
"2059","49001","54","1","distance","4789"
"2059","49001","53","1","distance","4664"
"2059","49001","52","1","distance","73951"
"2059","49001","51","1","distance","784"
"2059","49001","43","1","distance","2232"
"2059","49001","42","1","distance","1216"
"2059","49001","41","1","distance","4402"
"2059","49001","32","1","distance","59739"
"2059","49001","31","1","distance","735430"
"2059","49001","21","1","distance","169592"
"2059","49001","11","1","distance","2327"
"2058","49001","62","1","distance","96424"
"2058","49001","61","1","distance","37240"
"2058","49001","54","1","distance","4692"
"2058","49001","53","1","distance","4570"
"2058","49001","52","1","distance","72460"
"2058","49001","51","1","distance","767"
"2058","49001","43","1","distance","2205"
"2058","49001","42","1","distance","1202"
"2058","49001","41","1","distance","4350"
"2058","49001","32","1","distance","58989"
"2058","49001","31","1","distance","726108"
"2058","49001","21","1","distance","169204"
"2058","49001","11","1","distance","2302"
"2057","49001","62","1","distance","96127"
"2057","49001","61","1","distance","37111"
"2057","49001","54","1","distance","4596"
"2057","49001","53","1","distance","4479"
"2057","49001","52","1","distance","70999"
"2057","49001","51","1","distance","752"
"2057","49001","43","1","distance","2179"
"2057","49001","42","1","distance","1188"
"2057","49001","41","1","distance","4298"
"2057","49001","32","1","distance","58250"
"2057","49001","31","1","distance","716893"
"2057","49001","21","1","distance","168811"
"2057","49001","11","1","distance","2278"
"2056","49001","62","1","distance","95832"
"2056","49001","61","1","distance","36981"
"2056","49001","54","1","distance","4503"
"2056","49001","53","1","distance","4389"
"2056","49001","52","1","distance","69568"
"2056","49001","51","1","distance","736"
"2056","49001","43","1","distance","2153"
"2056","49001","42","1","distance","1175"
"2056","49001","41","1","distance","4247"
"2056","49001","32","1","distance","57520"
"2056","49001","31","1","distance","707782"
"2056","49001","21","1","distance","168414"
"2056","49001","11","1","distance","2254"
"2055","49001","62","1","distance","95539"
"2055","49001","61","1","distance","36851"
"2055","49001","54","1","distance","4410"
"2055","49001","53","1","distance","4301"
"2055","49001","52","1","distance","68166"
"2055","49001","51","1","distance","721"
"2055","49001","43","1","distance","2128"
"2055","49001","42","1","distance","1161"
"2055","49001","41","1","distance","4197"
"2055","49001","32","1","distance","56800"
"2055","49001","31","1","distance","698775"
"2055","49001","21","1","distance","168013"
"2055","49001","11","1","distance","2230"
"2054","49001","62","1","distance","95249"
"2054","49001","61","1","distance","36720"
"2054","49001","54","1","distance","4319"
"2054","49001","53","1","distance","4215"
"2054","49001","52","1","distance","66793"
"2054","49001","51","1","distance","706"
"2054","49001","43","1","distance","2103"
"2054","49001","42","1","distance","1148"
"2054","49001","41","1","distance","4148"
"2054","49001","32","1","distance","56091"
"2054","49001","31","1","distance","689881"
"2054","49001","21","1","distance","167598"
"2054","49001","11","1","distance","2206"
"2053","49001","62","1","distance","94967"
"2053","49001","61","1","distance","36586"
"2053","49001","54","1","distance","4230"
"2053","49001","53","1","distance","4131"
"2053","49001","52","1","distance","65448"
"2053","49001","51","1","distance","692"
"2053","49001","43","1","distance","2078"
"2053","49001","42","1","distance","1135"
"2053","49001","41","1","distance","4099"
"2053","49001","32","1","distance","55393"
"2053","49001","31","1","distance","681114"
"2053","49001","21","1","distance","167157"
"2053","49001","11","1","distance","2183"
"2052","49001","62","1","distance","94688"
"2052","49001","61","1","distance","36451"
"2052","49001","54","1","distance","4141"
"2052","49001","53","1","distance","4048"
"2052","49001","52","1","distance","64131"
"2052","49001","51","1","distance","677"
"2052","49001","43","1","distance","2053"
"2052","49001","42","1","distance","1122"
"2052","49001","41","1","distance","4050"
"2052","49001","32","1","distance","54708"
"2052","49001","31","1","distance","672472"
"2052","49001","21","1","distance","166688"
"2052","49001","11","1","distance","2160"
"2051","49001","62","1","distance","94413"
"2051","49001","61","1","distance","36314"
"2051","49001","54","1","distance","4053"
"2051","49001","53","1","distance","3966"
"2051","49001","52","1","distance","62841"
"2051","49001","51","1","distance","664"
"2051","49001","43","1","distance","2029"
"2051","49001","42","1","distance","1109"
"2051","49001","41","1","distance","4003"
"2051","49001","32","1","distance","54034"
